Question,Answer
Qual a capital da França?,Paris
Quem escreveu Romeu e Julieta?,William Shakespeare
Qual a raiz quadrada de 64?,8
Qual o simbolo do ouro?,Au
Quem é o atual presidente dos Estados Unidos?,Joe Biden
Qual a capital da França?,Paris
Quem escreveu Romeu e Julieta?,William Shakespeare
Qual a raiz quadrada de 64?,8
Qual o simbolo do ouro?,Au
Quem é o atual presidente dos Estados Unidos?,Joe Biden
Qual a capital da França?,Paris
Quem escreveu Romeu e Julieta?,William Shakespeare
Qual a raiz quadrada de 64?,8
Qual o simbolo do ouro?,Au
Quem é o atual presidente dos Estados Unidos?,Joe Biden
Qual a capital da França?,Paris
Quem escreveu Romeu e Julieta?,William Shakespeare
Qual a raiz quadrada de 64?,8
Qual o simbolo do ouro?,Au
Quem é o atual presidente dos Estados Unidos?,Joe Biden
Qual a capital da França?,Paris
Quem escreveu Romeu e Julieta?,William Shakespeare
Qual a raiz quadrada de 64?,8
Qual o simbolo do ouro?,Au
Quem é o atual presidente dos Estados Unidos?,Joe Biden
Qual a capital da França?,Paris
Quem escreveu Romeu e Julieta?,William Shakespeare
Qual a raiz quadrada de 64?,8
Qual o simbolo do ouro?,Au
Quem é o atual presidente dos Estados Unidos?,Joe Biden
Qual a capital da França?,Paris
Quem escreveu Romeu e Julieta?,William Shakespeare
Qual a raiz quadrada de 64?,8
Qual o simbolo do ouro?,Au
Quem é o atual presidente dos Estados Unidos?,Joe Biden
Qual a capital da França?,Paris
Quem escreveu Romeu e Julieta?,William Shakespeare
Qual a raiz quadrada de 64?,8
Qual o simbolo do ouro?,Au
Quem é o atual presidente dos Estados Unidos?,Joe Biden
Qual a capital da França?,Paris
Quem escreveu Romeu e Julieta?,William Shakespeare
Qual a raiz quadrada de 64?,8
Qual o simbolo do ouro?,Au
Quem é o atual presidente dos Estados Unidos?,Joe Biden
Qual a capital da França?,Paris
Quem escreveu Romeu e Julieta?,William Shakespeare
Qual a raiz quadrada de 64?,8
Qual o simbolo do ouro?,Au
Quem é o atual presidente dos Estados Unidos?,Joe Biden
Qual a capital da França?,Paris
Quem escreveu Romeu e Julieta?,William Shakespeare
